ResponseId,ticket,Durationinseconds,Progress
R_1jJTL3XYZUekYMH,5117a0b46a98056c_861b49d1857524a8_cc430c747a15dd31_bcdb12c4743e5b931c14cbb6a1a09bfa,2613,100
R_AgJflBdsRHLgTlL,a46f25285c5858c8_861b49d1857524a8_cc430c747a15dd31_d28c1deaf7d6d26eef654e82c3ad6e1a,2263,100
R_2w6y5yd4gMfTph5,1a2f33436260d276_861b49d1857524a8_cc430c747a15dd31_b7c3467dd79969f9251eedde915fd635,2485,100
R_51rJtiRzUy9iCzv,12c7fa98b75662f0_861b49d1857524a8_cc430c747a15dd31_69822041e396d6b2c462d4f21655b0e1,1977,100
R_1dayANdpu9xvQK5,95f35dc069d7a7f9_861b49d1857524a8_cc430c747a15dd31_fdbc8347b486d5a1868019f882165f98,2673,100
R_1MStOFegSvCsrK7,8c1aadc95431bbc7_861b49d1857524a8_cc430c747a15dd31_dcd210e5aae9fabf9e67f0f05d67b61d,2726,100
R_22yNuuPpLC7kVfH,d06d69ac86ff1007_861b49d1857524a8_cc430c747a15dd31_c7527f56e1761eb6986751f05c47afd1,2718,100
R_27OU8nagHW1HYvK,82b77bca648f5c8d_861b49d1857524a8_cc430c747a15dd31_9279daf69cc7deae62864f11f9456336,2712,100
R_3gTbvgEhvAihUsa,d7932a2557aa6362_861b49d1857524a8_cc430c747a15dd31_97e4607ee64f0c123c45fe74bc76605f,2772,100
R_Aze6JeebA6aWSoV,d556945c41d9d731_861b49d1857524a8_cc430c747a15dd31_a1aea42712451356dc267a6c95811c51,2944,100
R_1CeBD1FZQkwuimZ,825817ac3959953f_861b49d1857524a8_cc430c747a15dd31_9a196d22ba8f0a385a70c200f718f760,3090,100
R_30eplevK4RCHvqb,569073ddbf6ba780_861b49d1857524a8_cc430c747a15dd31_be1f1ad9ac4c76abc9fe2911c946635c,3008,100
R_1mlbdtbT5AtPOn6,c140f29919d80070_861b49d1857524a8_cc430c747a15dd31_f39c9490c9de543ae988b90f0599c3a1,3259,100
R_2BevZ3kfICkRkiT,711b8356bcc5c9f9_861b49d1857524a8_cc430c747a15dd31_84c903fecc511797132b5ccb7e2bd2cd,2486,100
